,ClosestCountries5,ClosestCountries10,ClosestCountries30
nan_Afghanistan,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait|nan_Azerbaijan|nan_India|nan_Nepal|nan_Armenia|nan_Iraq|Xinjiang_China|nan_Georgia|Tibet_China|nan_Saudi Arabia|nan_Syria|nan_Bhutan|nan_Yemen|nan_Bangladesh|nan_Jordan|nan_Lebanon|nan_Turkey|nan_West Bank and Gaza|nan_Israel|Qinghai_China|nan_Cyprus
nan_Namibia,nan_Botswana|nan_South Africa|nan_Zimbabwe|nan_Angola|nan_Zambia,nan_Botswana|nan_South Africa|nan_Zimbabwe|nan_Angola|nan_Zambia|nan_Eswatini|nan_Mozambique|nan_Malawi|nan_Congo (Brazzaville)|nan_Congo (Kinshasa),nan_Botswana|nan_South Africa|nan_Zimbabwe|nan_Angola|nan_Zambia|nan_Eswatini|nan_Mozambique|nan_Malawi|nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|nan_Burundi|nan_Tanzania|nan_Gabon|nan_Rwanda|nan_Equatorial Guinea|nan_Sao Tome and Principe|nan_Madagascar|nan_Uganda|Mayotte_France|nan_Cameroon|Kansas_US|Illinois_US|Indiana_US|Iowa_US|Hawaii_US|Idaho_US|Georgia_US|Arizona_US|District of Columbia_US|Delaware_US
nan_Nepal,Tibet_China|nan_Bhutan|nan_Bangladesh|nan_India|nan_Burma,Tibet_China|nan_Bhutan|nan_Bangladesh|nan_India|nan_Burma|Qinghai_China|Xinjiang_China|nan_Pakistan|nan_Kyrgyzstan|Yunnan_China,Tibet_China|nan_Bhutan|nan_Bangladesh|nan_India|nan_Burma|Qinghai_China|Xinjiang_China|nan_Pakistan|nan_Kyrgyzstan|Yunnan_China|Sichuan_China|Gansu_China|nan_Afghanistan|nan_Laos|Guizhou_China|nan_Thailand|Ningxia_China|Chongqing_China|nan_Uzbekistan|nan_Sri Lanka|Shaanxi_China|Guangxi_China|nan_Kazakhstan|nan_Mongolia|Hunan_China|Hubei_China|Hainan_China|nan_Vietnam|Shanxi_China|nan_Cambodia
Aruba_Netherlands,"Curacao_Netherlands|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Dominican Republic|Puerto Rico_US|nan_Haiti","Curacao_Netherlands|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Dominican Republic|Puerto Rico_US|nan_Haiti|nan_Venezuela|Virgin Islands_US|British Virgin Islands_United Kingdom|nan_Grenada|nan_Saint Kitts and Nevis","Curacao_Netherlands|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Dominican Republic|Puerto Rico_US|nan_Haiti|nan_Venezuela|Virgin Islands_US|British Virgin Islands_United Kingdom|nan_Grenada|nan_Saint Kitts and Nevis|nan_Saint Vincent and the Grenadines|Montserrat_United Kingdom|Sint Maarten_Netherlands|St Martin_France|Saint Barthelemy_France|Anguilla_United Kingdom|nan_Trinidad and Tobago|nan_Dominica|nan_Saint Lucia|nan_Jamaica|nan_Colombia|Guadeloupe_France|Martinique_France|nan_Antigua and Barbuda|Turks and Caicos Islands_United Kingdom|nan_Barbados|nan_Belize|nan_Panama|Cayman Islands_United Kingdom|nan_Cuba"
Curacao_Netherlands,"Bonaire, Sint Eustatius and Saba_Netherlands|Aruba_Netherlands|nan_Venezuela|Puerto Rico_US|nan_Dominican Republic","Bonaire, Sint Eustatius and Saba_Netherlands|Aruba_Netherlands|nan_Venezuela|Puerto Rico_US|nan_Dominican Republic|nan_Grenada|Virgin Islands_US|nan_Haiti|British Virgin Islands_United Kingdom|nan_Saint Vincent and the Grenadines","Bonaire, Sint Eustatius and Saba_Netherlands|Aruba_Netherlands|nan_Venezuela|Puerto Rico_US|nan_Dominican Republic|nan_Grenada|Virgin Islands_US|nan_Haiti|British Virgin Islands_United Kingdom|nan_Saint Vincent and the Grenadines|nan_Trinidad and Tobago|nan_Saint Kitts and Nevis|nan_Saint Lucia|Montserrat_United Kingdom|nan_Dominica|Martinique_France|Sint Maarten_Netherlands|St Martin_France|Saint Barthelemy_France|Guadeloupe_France|Anguilla_United Kingdom|nan_Antigua and Barbuda|nan_Colombia|nan_Barbados|nan_Belize|Turks and Caicos Islands_United Kingdom|nan_Jamaica|nan_Panama|nan_Guyana|Cayman Islands_United Kingdom"
Sint Maarten_Netherlands,St Martin_France|Anguilla_United Kingdom|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom,St Martin_France|Anguilla_United Kingdom|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda|British Virgin Islands_United Kingdom|Virgin Islands_US|Guadeloupe_France|nan_Dominica,"St Martin_France|Anguilla_United Kingdom|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda|British Virgin Islands_United Kingdom|Virgin Islands_US|Guadeloupe_France|nan_Dominica|Puerto Rico_US|Martinique_France|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|nan_Barbados|nan_Belize|nan_Grenada|nan_Dominican Republic|nan_Trinidad and Tobago|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|Aruba_Netherlands|nan_Haiti|Turks and Caicos Islands_United Kingdom|nan_Venezuela|nan_Jamaica|nan_Guyana|Bermuda_United Kingdom|nan_Bahamas|nan_Suriname"
nan_Netherlands,nan_Belgium|nan_Luxembourg|nan_Germany|nan_Denmark|Channel Islands_United Kingdom,nan_Belgium|nan_Luxembourg|nan_Germany|nan_Denmark|Channel Islands_United Kingdom|nan_Switzerland|nan_Liechtenstein|nan_United Kingdom|nan_France|Isle of Man_United Kingdom,nan_Belgium|nan_Luxembourg|nan_Germany|nan_Denmark|Channel Islands_United Kingdom|nan_Switzerland|nan_Liechtenstein|nan_United Kingdom|nan_France|Isle of Man_United Kingdom|nan_Czechia|nan_Austria|nan_Ireland|nan_Monaco|nan_Norway|nan_Poland|nan_Slovenia|nan_San Marino|nan_Croatia|nan_Slovakia|nan_Andorra|nan_Italy|nan_Hungary|nan_Holy See|nan_Lithuania|nan_Bosnia and Herzegovina|Faroe Islands_Denmark|nan_Latvia|nan_Sweden|nan_Estonia
nan_New Zealand,New South Wales_Australia|Australian Capital Territory_Australia|New Caledonia_France|Tasmania_Australia|Queensland_Australia,New South Wales_Australia|Australian Capital Territory_Australia|New Caledonia_France|Tasmania_Australia|Queensland_Australia|nan_Fiji|Victoria_Australia|South Australia_Australia|American Samoa_US|French Polynesia_France,New South Wales_Australia|Australian Capital Territory_Australia|New Caledonia_France|Tasmania_Australia|Queensland_Australia|nan_Fiji|Victoria_Australia|South Australia_Australia|American Samoa_US|French Polynesia_France|nan_Papua New Guinea|Western Australia_Australia|Northern Territory_Australia|nan_Timor-Leste|Guam_US|Northern Mariana Islands_US|nan_Indonesia|nan_Brunei|nan_Malaysia|nan_Philippines|Falkland Islands (Malvinas)_United Kingdom|nan_Singapore|nan_Taiwan*|nan_Chile|nan_Cambodia|nan_Japan|nan_Vietnam|Hong Kong_China|nan_Argentina|Macau_China
nan_Nicaragua,nan_Honduras|nan_Costa Rica|nan_El Salvador|nan_Guatemala|nan_Panama,nan_Honduras|nan_Costa Rica|nan_El Salvador|nan_Guatemala|nan_Panama|Cayman Islands_United Kingdom|nan_Jamaica|nan_Cuba|nan_Colombia|nan_Haiti,"nan_Honduras|nan_Costa Rica|nan_El Salvador|nan_Guatemala|nan_Panama|Cayman Islands_United Kingdom|nan_Jamaica|nan_Cuba|nan_Colombia|nan_Haiti|nan_Bahamas|Aruba_Netherlands|Turks and Caicos Islands_United Kingdom|nan_Dominican Republic|Curacao_Netherlands|nan_Ecuador|Bonaire, Sint Eustatius and Saba_Netherlands|Puerto Rico_US|nan_Venezuela|nan_Mexico|Virgin Islands_US|British Virgin Islands_United Kingdom|Sint Maarten_Netherlands|St Martin_France|Anguilla_United Kingdom|nan_Saint Kitts and Nevis|Saint Barthelemy_France|Montserrat_United Kingdom|nan_Grenada|nan_Antigua and Barbuda"
nan_Niger,nan_Mauritania|nan_Nigeria|nan_Benin|nan_Chad|nan_Burkina Faso,nan_Mauritania|nan_Nigeria|nan_Benin|nan_Chad|nan_Burkina Faso|nan_Togo|nan_Mali|nan_Algeria|nan_Libya|nan_Ghana,nan_Mauritania|nan_Nigeria|nan_Benin|nan_Chad|nan_Burkina Faso|nan_Togo|nan_Mali|nan_Algeria|nan_Libya|nan_Ghana|nan_Cameroon|nan_Equatorial Guinea|nan_Tunisia|nan_Cote d'Ivoire|nan_Central African Republic|nan_Sao Tome and Principe|nan_Gabon|nan_Guinea|nan_Malta|Federal Bureau of Prisons_US|Veteran Hospitals_US|US Military_US|North Dakota_US|Florida_US|District of Columbia_US|Delaware_US|Connecticut_US|Colorado_US|California_US|Arkansas_US
nan_Nigeria,nan_Cameroon|nan_Benin|nan_Equatorial Guinea|nan_Togo|nan_Niger,nan_Cameroon|nan_Benin|nan_Equatorial Guinea|nan_Togo|nan_Niger|nan_Sao Tome and Principe|nan_Ghana|nan_Gabon|nan_Burkina Faso|nan_Chad,nan_Cameroon|nan_Benin|nan_Equatorial Guinea|nan_Togo|nan_Niger|nan_Sao Tome and Principe|nan_Ghana|nan_Gabon|nan_Burkina Faso|nan_Chad|nan_Mauritania|nan_Central African Republic|Illinois_US|Indiana_US|Iowa_US|Louisiana_US|Kentucky_US|Maine_US|Maryland_US|Kansas_US|Idaho_US|District of Columbia_US|Georgia_US|Florida_US|Massachusetts_US|Delaware_US|Connecticut_US|California_US|Arkansas_US|Arizona_US
nan_North Macedonia,nan_Kosovo|nan_Albania|nan_Montenegro|nan_Serbia|nan_Greece,nan_Kosovo|nan_Albania|nan_Montenegro|nan_Serbia|nan_Greece|nan_Bulgaria|nan_Bosnia and Herzegovina|nan_Romania|nan_Hungary|nan_Croatia,nan_Kosovo|nan_Albania|nan_Montenegro|nan_Serbia|nan_Greece|nan_Bulgaria|nan_Bosnia and Herzegovina|nan_Romania|nan_Hungary|nan_Croatia|nan_Slovenia|nan_Holy See|nan_Slovakia|nan_San Marino|nan_Italy|nan_Moldova|nan_Austria|nan_Malta|nan_Czechia|nan_Ukraine|nan_Liechtenstein|nan_Poland|nan_Turkey|nan_Monaco|nan_Switzerland|nan_Cyprus|nan_Tunisia|nan_Belarus|nan_Germany|nan_Lebanon
nan_Norway,nan_Denmark|nan_Sweden|Faroe Islands_Denmark|nan_United Kingdom|nan_Netherlands,nan_Denmark|nan_Sweden|Faroe Islands_Denmark|nan_United Kingdom|nan_Netherlands|nan_Estonia|nan_Finland|nan_Latvia|Isle of Man_United Kingdom|nan_Germany,nan_Denmark|nan_Sweden|Faroe Islands_Denmark|nan_United Kingdom|nan_Netherlands|nan_Estonia|nan_Finland|nan_Latvia|Isle of Man_United Kingdom|nan_Germany|nan_Lithuania|nan_Belgium|nan_Poland|nan_Luxembourg|nan_Czechia|nan_Ireland|nan_Belarus|Channel Islands_United Kingdom|nan_Iceland|nan_Liechtenstein|nan_Austria|nan_Slovakia|nan_Switzerland|nan_France|nan_Hungary|nan_Slovenia|nan_Croatia|nan_San Marino|nan_Monaco|nan_Moldova
nan_Oman,nan_United Arab Emirates|nan_Qatar|nan_Bahrain|nan_Yemen|nan_Saudi Arabia,nan_United Arab Emirates|nan_Qatar|nan_Bahrain|nan_Yemen|nan_Saudi Arabia|nan_Iran|nan_Kuwait|nan_Afghanistan|nan_Pakistan|nan_Djibouti,nan_United Arab Emirates|nan_Qatar|nan_Bahrain|nan_Yemen|nan_Saudi Arabia|nan_Iran|nan_Kuwait|nan_Afghanistan|nan_Pakistan|nan_Djibouti|nan_Iraq|nan_Eritrea|nan_Somalia|nan_India|nan_Ethiopia|nan_Azerbaijan|nan_Syria|nan_Jordan|nan_Uzbekistan|nan_Armenia|nan_Israel|nan_West Bank and Gaza|nan_Lebanon|nan_Maldives|nan_Georgia|nan_Cyprus|nan_Kyrgyzstan|nan_Egypt|nan_Seychelles|nan_Nepal
nan_Pakistan,nan_Afghanistan|nan_Uzbekistan|nan_Kyrgyzstan|nan_India|nan_Nepal,nan_Afghanistan|nan_Uzbekistan|nan_Kyrgyzstan|nan_India|nan_Nepal|nan_Iran|nan_Oman|nan_United Arab Emirates|Tibet_China|Xinjiang_China,nan_Afghanistan|nan_Uzbekistan|nan_Kyrgyzstan|nan_India|nan_Nepal|nan_Iran|nan_Oman|nan_United Arab Emirates|Tibet_China|Xinjiang_China|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Bhutan|nan_Kuwait|nan_Bangladesh|nan_Azerbaijan|nan_Iraq|nan_Armenia|nan_Saudi Arabia|Qinghai_China|nan_Georgia|nan_Yemen|nan_Burma|nan_Sri Lanka|nan_Syria|Gansu_China|nan_Maldives|nan_Jordan|nan_Lebanon
nan_Panama,nan_Costa Rica|nan_Nicaragua|nan_Colombia|nan_Honduras|nan_El Salvador,nan_Costa Rica|nan_Nicaragua|nan_Colombia|nan_Honduras|nan_El Salvador|nan_Jamaica|nan_Ecuador|Cayman Islands_United Kingdom|Aruba_Netherlands|nan_Guatemala,"nan_Costa Rica|nan_Nicaragua|nan_Colombia|nan_Honduras|nan_El Salvador|nan_Jamaica|nan_Ecuador|Cayman Islands_United Kingdom|Aruba_Netherlands|nan_Guatemala|Curacao_Netherlands|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Haiti|nan_Cuba|nan_Venezuela|nan_Dominican Republic|Turks and Caicos Islands_United Kingdom|nan_Bahamas|Puerto Rico_US|Virgin Islands_US|British Virgin Islands_United Kingdom|nan_Peru|nan_Grenada|nan_Trinidad and Tobago|nan_Saint Kitts and Nevis|Sint Maarten_Netherlands|nan_Saint Vincent and the Grenadines|St Martin_France|Anguilla_United Kingdom|Saint Barthelemy_France"
nan_Papua New Guinea,French Polynesia_France|Northern Territory_Australia|nan_Timor-Leste|Guam_US|Northern Mariana Islands_US,French Polynesia_France|Northern Territory_Australia|nan_Timor-Leste|Guam_US|Northern Mariana Islands_US|Queensland_Australia|New Caledonia_France|New South Wales_Australia|South Australia_Australia|nan_Philippines,French Polynesia_France|Northern Territory_Australia|nan_Timor-Leste|Guam_US|Northern Mariana Islands_US|Queensland_Australia|New Caledonia_France|New South Wales_Australia|South Australia_Australia|nan_Philippines|Australian Capital Territory_Australia|nan_Indonesia|nan_Brunei|Victoria_Australia|nan_Malaysia|Tasmania_Australia|nan_Fiji|Western Australia_Australia|nan_Taiwan*|Hong Kong_China|nan_Singapore|Fujian_China|Macau_China|Guangdong_China|nan_Vietnam|Zhejiang_China|Hainan_China|nan_Japan|nan_Cambodia|Shanghai_China
nan_Paraguay,nan_Bolivia|nan_Uruguay|nan_Brazil|nan_Argentina|nan_Chile,nan_Bolivia|nan_Uruguay|nan_Brazil|nan_Argentina|nan_Chile|nan_Peru|nan_Suriname|French Guiana_France|nan_Guyana|Falkland Islands (Malvinas)_United Kingdom,"nan_Bolivia|nan_Uruguay|nan_Brazil|nan_Argentina|nan_Chile|nan_Peru|nan_Suriname|French Guiana_France|nan_Guyana|Falkland Islands (Malvinas)_United Kingdom|nan_Ecuador|nan_Venezuela|nan_Colombia|nan_Trinidad and Tobago|nan_Grenada|nan_Saint Vincent and the Grenadines|nan_Belize|nan_Barbados|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|nan_Saint Lucia|Aruba_Netherlands|Martinique_France|nan_Panama|nan_Dominica|Guadeloupe_France|Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Saint Kitts and Nevis|nan_Costa Rica"
nan_Peru,nan_Ecuador|nan_Bolivia|nan_Colombia|nan_Venezuela|nan_Panama,nan_Ecuador|nan_Bolivia|nan_Colombia|nan_Venezuela|nan_Panama|nan_Costa Rica|nan_Paraguay|nan_Guyana|Curacao_Netherlands|Aruba_Netherlands,"nan_Ecuador|nan_Bolivia|nan_Colombia|nan_Venezuela|nan_Panama|nan_Costa Rica|nan_Paraguay|nan_Guyana|Curacao_Netherlands|Aruba_Netherlands|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Suriname|nan_Brazil|nan_Trinidad and Tobago|nan_Nicaragua|nan_Grenada|French Guiana_France|nan_Saint Vincent and the Grenadines|nan_Chile|nan_Honduras|nan_El Salvador|nan_Saint Lucia|nan_Belize|nan_Barbados|nan_Jamaica|Martinique_France|nan_Dominica|nan_Haiti|nan_Dominican Republic|Puerto Rico_US"
nan_Philippines,nan_Taiwan*|nan_Brunei|Hong Kong_China|Macau_China|Guangdong_China,nan_Taiwan*|nan_Brunei|Hong Kong_China|Macau_China|Guangdong_China|Hainan_China|Fujian_China|nan_Vietnam|nan_Malaysia|Jiangxi_China,nan_Taiwan*|nan_Brunei|Hong Kong_China|Macau_China|Guangdong_China|Hainan_China|Fujian_China|nan_Vietnam|nan_Malaysia|Jiangxi_China|nan_Indonesia|Zhejiang_China|Guangxi_China|nan_Cambodia|Hunan_China|Shanghai_China|Anhui_China|Guizhou_China|nan_Laos|Hubei_China|Jiangsu_China|nan_Thailand|Chongqing_China|nan_Singapore|nan_Timor-Leste|Henan_China|Guam_US|Yunnan_China|Northern Mariana Islands_US|Shandong_China
nan_Poland,nan_Czechia|nan_Slovakia|nan_Lithuania|nan_Hungary|nan_Austria,nan_Czechia|nan_Slovakia|nan_Lithuania|nan_Hungary|nan_Austria|nan_Belarus|nan_Latvia|nan_Slovenia|nan_Germany|nan_Romania,nan_Czechia|nan_Slovakia|nan_Lithuania|nan_Hungary|nan_Austria|nan_Belarus|nan_Latvia|nan_Slovenia|nan_Germany|nan_Romania|nan_Denmark|nan_Croatia|nan_Estonia|nan_Moldova|nan_Liechtenstein|nan_Serbia|nan_Bosnia and Herzegovina|nan_Ukraine|nan_Luxembourg|nan_Netherlands|nan_Switzerland|nan_San Marino|nan_Kosovo|nan_Montenegro|nan_Belgium|nan_Bulgaria|nan_Italy|nan_Norway|nan_North Macedonia|nan_Albania
nan_Portugal,nan_Spain|Gibraltar_United Kingdom|nan_Morocco|nan_Andorra|nan_France,nan_Spain|Gibraltar_United Kingdom|nan_Morocco|nan_Andorra|nan_France|Channel Islands_United Kingdom|nan_Monaco|nan_Ireland|nan_Algeria|nan_Switzerland,nan_Spain|Gibraltar_United Kingdom|nan_Morocco|nan_Andorra|nan_France|Channel Islands_United Kingdom|nan_Monaco|nan_Ireland|nan_Algeria|nan_Switzerland|nan_Belgium|nan_Luxembourg|nan_Tunisia|Isle of Man_United Kingdom|nan_Liechtenstein|nan_Italy|nan_Western Sahara|nan_Netherlands|nan_Holy See|nan_San Marino|nan_United Kingdom|nan_Germany|nan_Malta|nan_Croatia|nan_Slovenia|nan_Austria|nan_Czechia|nan_Bosnia and Herzegovina|nan_Denmark|nan_Montenegro
nan_Qatar,nan_Bahrain|nan_United Arab Emirates|nan_Kuwait|nan_Saudi Arabia|nan_Iran,nan_Bahrain|nan_United Arab Emirates|nan_Kuwait|nan_Saudi Arabia|nan_Iran|nan_Oman|nan_Iraq|nan_Yemen|nan_Syria|nan_Jordan,nan_Bahrain|nan_United Arab Emirates|nan_Kuwait|nan_Saudi Arabia|nan_Iran|nan_Oman|nan_Iraq|nan_Yemen|nan_Syria|nan_Jordan|nan_Afghanistan|nan_Eritrea|nan_Azerbaijan|nan_Israel|nan_West Bank and Gaza|nan_Armenia|nan_Djibouti|nan_Lebanon|nan_Pakistan|nan_Georgia|nan_Cyprus|nan_Ethiopia|nan_Turkey|nan_Egypt|nan_Uzbekistan|nan_Somalia|nan_Sudan|nan_India|nan_Kyrgyzstan|nan_Kazakhstan
nan_Romania,nan_Moldova|nan_Bulgaria|nan_Serbia|nan_Hungary|nan_Kosovo,nan_Moldova|nan_Bulgaria|nan_Serbia|nan_Hungary|nan_Kosovo|nan_Slovakia|nan_Ukraine|nan_North Macedonia|nan_Montenegro|nan_Bosnia and Herzegovina,nan_Moldova|nan_Bulgaria|nan_Serbia|nan_Hungary|nan_Kosovo|nan_Slovakia|nan_Ukraine|nan_North Macedonia|nan_Montenegro|nan_Bosnia and Herzegovina|nan_Albania|nan_Croatia|nan_Slovenia|nan_Poland|nan_Greece|nan_Austria|nan_Czechia|nan_Belarus|nan_San Marino|nan_Lithuania|nan_Italy|nan_Holy See|nan_Turkey|nan_Liechtenstein|nan_Latvia|nan_Switzerland|nan_Germany|nan_Cyprus|nan_Monaco|nan_Estonia
nan_Russia,nan_Mongolia|nan_Kazakhstan|Xinjiang_China|nan_Kyrgyzstan|Inner Mongolia_China,nan_Mongolia|nan_Kazakhstan|Xinjiang_China|nan_Kyrgyzstan|Inner Mongolia_China|Gansu_China|nan_Uzbekistan|Qinghai_China|Heilongjiang_China|Ningxia_China,nan_Mongolia|nan_Kazakhstan|Xinjiang_China|nan_Kyrgyzstan|Inner Mongolia_China|Gansu_China|nan_Uzbekistan|Qinghai_China|Heilongjiang_China|Ningxia_China|Beijing_China|Hebei_China|Shanxi_China|Tianjin_China|Jilin_China|Liaoning_China|Shaanxi_China|Tibet_China|nan_Finland|Shandong_China|Henan_China|Sichuan_China|nan_Afghanistan|nan_Estonia|nan_Nepal|Chongqing_China|nan_Bhutan|Hubei_China|nan_Pakistan|nan_Azerbaijan
nan_Rwanda,nan_Burundi|nan_Uganda|nan_Tanzania|nan_Kenya|nan_Congo (Brazzaville),nan_Burundi|nan_Uganda|nan_Tanzania|nan_Kenya|nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|nan_South Sudan|nan_Malawi|nan_Central African Republic|nan_Zambia,nan_Burundi|nan_Uganda|nan_Tanzania|nan_Kenya|nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|nan_South Sudan|nan_Malawi|nan_Central African Republic|nan_Zambia|nan_Sudan|nan_Angola|nan_Ethiopia|nan_Mozambique|nan_Somalia|nan_Zimbabwe|nan_Gabon|Mayotte_France|nan_Djibouti|nan_Cameroon|nan_Eritrea|nan_Equatorial Guinea|nan_Chad|nan_Botswana|nan_Sao Tome and Principe|nan_Madagascar|nan_Namibia|nan_Nigeria|nan_Eswatini|nan_Yemen
nan_Saint Lucia,Martinique_France|nan_Saint Vincent and the Grenadines|nan_Dominica|nan_Belize|nan_Barbados,Martinique_France|nan_Saint Vincent and the Grenadines|nan_Dominica|nan_Belize|nan_Barbados|nan_Grenada|Guadeloupe_France|Montserrat_United Kingdom|nan_Trinidad and Tobago|nan_Antigua and Barbuda,"Martinique_France|nan_Saint Vincent and the Grenadines|nan_Dominica|nan_Belize|nan_Barbados|nan_Grenada|Guadeloupe_France|Montserrat_United Kingdom|nan_Trinidad and Tobago|nan_Antigua and Barbuda|nan_Saint Kitts and Nevis|Saint Barthelemy_France|Sint Maarten_Netherlands|St Martin_France|Anguilla_United Kingdom|British Virgin Islands_United Kingdom|Virgin Islands_US|Puerto Rico_US|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|Aruba_Netherlands|nan_Guyana|nan_Venezuela|nan_Dominican Republic|nan_Suriname|nan_Haiti|French Guiana_France|Turks and Caicos Islands_United Kingdom|nan_Colombia|nan_Jamaica"
nan_Saint Vincent and the Grenadines,nan_Grenada|nan_Saint Lucia|Martinique_France|nan_Barbados|nan_Belize,nan_Grenada|nan_Saint Lucia|Martinique_France|nan_Barbados|nan_Belize|nan_Trinidad and Tobago|nan_Dominica|Guadeloupe_France|Montserrat_United Kingdom|nan_Antigua and Barbuda,"nan_Grenada|nan_Saint Lucia|Martinique_France|nan_Barbados|nan_Belize|nan_Trinidad and Tobago|nan_Dominica|Guadeloupe_France|Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Saint Kitts and Nevis|Saint Barthelemy_France|Sint Maarten_Netherlands|St Martin_France|Anguilla_United Kingdom|British Virgin Islands_United Kingdom|Virgin Islands_US|Bonaire, Sint Eustatius and Saba_Netherlands|Puerto Rico_US|Curacao_Netherlands|nan_Guyana|nan_Venezuela|Aruba_Netherlands|nan_Dominican Republic|nan_Suriname|French Guiana_France|nan_Haiti|Turks and Caicos Islands_United Kingdom|nan_Colombia|nan_Jamaica"
nan_San Marino,nan_Italy|nan_Holy See|nan_Croatia|nan_Slovenia|nan_Monaco,nan_Italy|nan_Holy See|nan_Croatia|nan_Slovenia|nan_Monaco|nan_Bosnia and Herzegovina|nan_Liechtenstein|nan_Austria|nan_Switzerland|nan_Montenegro,nan_Italy|nan_Holy See|nan_Croatia|nan_Slovenia|nan_Monaco|nan_Bosnia and Herzegovina|nan_Liechtenstein|nan_Austria|nan_Switzerland|nan_Montenegro|nan_Hungary|nan_Serbia|nan_Czechia|nan_Kosovo|nan_Albania|nan_Slovakia|nan_North Macedonia|nan_Luxembourg|nan_Germany|nan_France|nan_Andorra|nan_Malta|nan_Greece|nan_Belgium|nan_Romania|nan_Poland|nan_Netherlands|nan_Bulgaria|nan_Tunisia|Channel Islands_United Kingdom
nan_Saudi Arabia,nan_Bahrain|nan_Qatar|nan_Kuwait|nan_United Arab Emirates|nan_Iraq,nan_Bahrain|nan_Qatar|nan_Kuwait|nan_United Arab Emirates|nan_Iraq|nan_Yemen|nan_Eritrea|nan_Jordan|nan_Iran|nan_Israel,nan_Bahrain|nan_Qatar|nan_Kuwait|nan_United Arab Emirates|nan_Iraq|nan_Yemen|nan_Eritrea|nan_Jordan|nan_Iran|nan_Israel|nan_Oman|nan_West Bank and Gaza|nan_Syria|nan_Djibouti|nan_Lebanon|nan_Egypt|nan_Cyprus|nan_Ethiopia|nan_Armenia|nan_Azerbaijan|nan_Turkey|nan_Sudan|nan_Georgia|nan_Somalia|nan_Afghanistan|nan_South Sudan|nan_Pakistan|nan_Uzbekistan|nan_Bulgaria|nan_Greece
nan_Senegal,nan_Gambia|nan_Guinea-Bissau|nan_Guinea|nan_Sierra Leone|nan_Cabo Verde,nan_Gambia|nan_Guinea-Bissau|nan_Guinea|nan_Sierra Leone|nan_Cabo Verde|nan_Liberia|nan_Western Sahara|nan_Mali|nan_Cote d'Ivoire|nan_Burkina Faso,nan_Gambia|nan_Guinea-Bissau|nan_Guinea|nan_Sierra Leone|nan_Cabo Verde|nan_Liberia|nan_Western Sahara|nan_Mali|nan_Cote d'Ivoire|nan_Burkina Faso|nan_Ghana|nan_Togo|Veteran Hospitals_US|Federal Bureau of Prisons_US|US Military_US|nan_Benin|nan_Morocco|nan_Algeria|Georgia_US|Idaho_US|Kansas_US|Indiana_US|Iowa_US|Florida_US|Kentucky_US|Illinois_US|District of Columbia_US|Alabama_US|Connecticut_US|Colorado_US
nan_Serbia,nan_Kosovo|nan_Montenegro|nan_Bosnia and Herzegovina|nan_North Macedonia|nan_Albania,nan_Kosovo|nan_Montenegro|nan_Bosnia and Herzegovina|nan_North Macedonia|nan_Albania|nan_Hungary|nan_Romania|nan_Bulgaria|nan_Croatia|nan_Slovakia,nan_Kosovo|nan_Montenegro|nan_Bosnia and Herzegovina|nan_North Macedonia|nan_Albania|nan_Hungary|nan_Romania|nan_Bulgaria|nan_Croatia|nan_Slovakia|nan_Slovenia|nan_Greece|nan_Austria|nan_San Marino|nan_Moldova|nan_Holy See|nan_Italy|nan_Czechia|nan_Poland|nan_Ukraine|nan_Liechtenstein|nan_Switzerland|nan_Malta|nan_Monaco|nan_Germany|nan_Belarus|nan_Lithuania|nan_Luxembourg|nan_Turkey|nan_Cyprus
